region,latitude,longitude,ndvi,ndbi,nightlight
Dombivali,19.1967698,73.0747522,0.49317465873293664,-0.03468348290080039,10.273333549499512
Kewale,19.0781806,72.8677752,0.3491547464239272,0.15478615071283094,39.67166519165039
Nala Sopara,19.4203577,72.8194857,0.16487104146261836,0.09716599190283401,34.871665954589844
Goregaon East,19.1692623,72.8552548,0.729595015576324,-0.25781603987313095,34.25666809082031
Kandivali East,19.2051958,72.8626165,0.835995085995086,-0.29086590369250703,39.66416549682617
Kurla,19.0655397,72.8795636,0.11632723507076285,0.2570640937284631,45.932498931884766
Andheri East,19.1158835,72.854202,0.34074390765284307,0.022443890274314215,52.83250045776367
Dahisar,19.2493572,72.8596302,0.49263950701814446,-0.05441354292623942,34.086666107177734
Karanjade,19.0781806,72.8677752,0.3491547464239272,0.15478615071283094,39.67166519165039
Mahim,19.0423145,72.8398344,0.4872552641300332,-0.05447878470403353,32.839168548583984
Vashi,19.0632481,72.9987966,0.04648738795080259,0.01886054920355712,36.095001220703125
Malad West,19.1852851,72.8358611,0.11553420269961108,0.09401709401709402,61.56916809082031
Girgaon,18.9543165,72.8179082,0.0757201646090535,-0.013964313421256789,53.40666580200195
Dadar West,19.0238887,72.8382236,0.23947550034506557,0.022052817860059897,53.63666534423828
Bandra West,19.0583358,72.8302669,0.1977401129943503,-0.009180550833049982,36.7599983215332
Kandivali West,19.2055321,72.8399273,0.7313510693792384,-0.2303985171455051,42.86083221435547
Kalyan West,19.0713588,72.8303908,0.24749048113534095,-0.03296073373459444,36.842498779296875
Neral,19.0274308,73.3184369,0.2100108813928183,0.06997490939503763,9.25
Kalyan East,19.0511604,72.9293364,0.3545734840698869,0.04630969609261939,29.804166793823242
Karjat,18.9769108,73.1386442,0.13958421722528638,0.08421411524036822,15.913333892822266
Ghatkopar West,19.0897439,72.9048035,0.2856788284934227,-0.1144578313253012,40.94166564941406
Dronagiri,18.8813327,72.9647315,0.08608015176665876,0.21962855682399046,16.060832977294922
Mulund East,19.1704719,72.9610447,0.4449678800856531,0.037649743297204795,30.060832977294922
Navade,19.053846,73.1030296,0.11908646003262642,0.135748031496063,22.065000534057617
Ambivali,19.1331195,72.8251336,0.3095429029671211,-0.015863141524105753,42.29499816894531
Agripada,18.97504,72.8250555,0.45454545454545453,-0.11658456486042693,61.82500076293945
Owale,19.0781806,72.8677752,0.3491547464239272,0.15478615071283094,39.67166519165039
Ville Parle East,19.0781806,72.8677752,0.3491547464239272,0.15478615071283094,39.67166519165039
Kalwa,19.1960909,72.9876602,0.09368191721132897,0.08092273892347125,41.09416580200195
Khar,19.0682411,72.8400412,0.3373253493013972,0.23530530720943504,44.37333297729492
Santacruz West,19.0844004,72.8372899,0.36316420295645224,-0.0655840099937539,48.75749969482422
Nerul,19.0335938,73.018164,0.10361216730038023,0.15778019586507072,36.774166107177734
Kanjurmarg,19.124102,72.9385562,0.09234828496042216,0.04783808647654094,29.73666763305664
Vangani,19.0943323,73.3008946,0.2716354645001766,0.0267639902676399,7.929166793823242
Bhayandar East,19.3101847,72.8526988,0.28,0.16723824894089168,15.880833625793457
Seawoods,19.0213683,73.018939,-0.02395964691046658,0.21540800810947794,36.0091667175293
