city,location,region,bhk,total_sqft,property_type,availability,price
Mumbai,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,Kalamboli,2.0,666.0,Apartment,Under Construction,82.0
Mumbai,Aurum Q Island R4 AND R5,Ghansoli,2.0,725.0,Apartment,Ready to move,170.0
Mumbai,Aurum Q Island R4 AND R5,Ghansoli,4.0,1492.0,Apartment,Ready to move,340.0
Mumbai,Aurum Q Island R4 AND R5,Ghansoli,2.0,715.0,Apartment,Ready to move,168.0
Mumbai,Aurum Q Island R4 AND R5,Ghansoli,1.0,505.0,Apartment,Ready to move,108.0
Mumbai,Raymond Raymond Realty TenX Habitat,Thane West,2.0,644.0,Apartment,Under Construction,158.0
Mumbai,Raymond Raymond Realty TenX Habitat,Thane West,2.0,635.0,Apartment,Under Construction,165.0
Mumbai,Asshna Seabliss,Andheri West,4.0,1969.0,Apartment,Under Construction,689.0
Mumbai,Shakti Shree Siddhivinayak II,Bhiwandi,1.0,514.0,Apartment,Under Construction,38.74
Mumbai,Asshna Seabliss,Andheri West,2.0,685.0,Apartment,Under Construction,226.0
Mumbai,Asshna Seabliss,Andheri West,3.0,1236.0,Apartment,Under Construction,408.0
Mumbai,Tharwani Meghna Montana,Ambernath West,2.0,1002.0,Apartment,Under Construction,47.45
Mumbai,Tharwani Meghna Montana,Ambernath West,1.0,840.0,Apartment,Under Construction,38.27
Mumbai,Tharwani Meghna Montana,Ambernath West,1.0,702.0,Apartment,Under Construction,31.99
Mumbai,Tharwani Meghna Montana,Ambernath West,2.0,1030.0,Apartment,Under Construction,48.78
Mumbai,Tharwani Meghna Montana,Ambernath West,2.0,1027.0,Apartment,Under Construction,48.63
Mumbai,Tharwani Meghna Montana,Ambernath West,1.0,730.0,Apartment,Under Construction,33.26
Mumbai,Tharwani Meghna Montana,Ambernath West,1.0,790.0,Apartment,Under Construction,36.0
Mumbai,Tharwani Meghna Montana,Ambernath West,2.0,950.0,Apartment,Under Construction,44.99
Mumbai,Tharwani Meghna Montana,Ambernath West,2.0,1063.0,Apartment,Under Construction,50.34
Mumbai,Tharwani Meghna Montana,Ambernath West,2.0,1057.0,Apartment,Under Construction,50.05
Mumbai,Tharwani Meghna Montana,Ambernath West,2.0,1008.0,Apartment,Under Construction,47.73
Mumbai,Tharwani Meghna Montana,Ambernath West,2.0,1070.0,Apartment,Under Construction,50.67
