city,region,latitude,longitude
Mumbai,Ghodbunder Road,19.2335556,72.9759463
Mumbai,Mulund,19.1721762,72.9562383
Mumbai,Sector 18 Kharghar,19.0452903,73.0796201
Mumbai,Palidevad,19.0686026,72.876583
Mumbai,Juhu Scheme,19.1111725,72.8297487
Mumbai,Adaigaon,19.0686026,72.876583
Mumbai,Versova,19.1302521,72.8213775
Mumbai,Sector-4 New Panvel,19.0594069,72.9602962
Mumbai,Pen,19.103182,72.8484426
Mumbai,Sector 6 Kamothe,19.0173837,73.0954838
Mumbai,Maneklal Estate,19.0686026,72.876583
Mumbai,L I C Colony,19.2426204,72.8520198
