location,min_price_sqft,max_price_sqft,avg_price_sqft,price_trend,rent_2bhk,rent_3bhk,rent_4bhk,rent_5bhk,rent_others,city
Viman Nagar,6248.0,7225.0,6736.5,-2.48%,"12,240 - 13,770",Rs.,"18,700 - 21,505",Rs.,"25,500 - 30,600",Pune
Vishnu Dev Nagar,5228.0,5568.0,5398.0,-2.33%,"9,031 - 10,094",Rs.,"12,852 - 14,688",,-,Pune
Vishrantwadi,4718.0,5652.0,5185.0,-3.91%,"8,381 - 9,860",Rs.,"12,495 - 14,161",Rs.,"16,327 - 19,825",Pune
Vitthal Nagar,5610.0,6078.0,5844.0,-2.82%,-,Rs.,"16,592 - 18,666",Rs.,"22,491 - 24,098",Pune
Wadebolai,2635.0,2805.0,2720.0,-4.35%,-,,-,,-,Pune
Wadgaon Sheri,4930.0,5695.0,5312.5,-6.82%,"8,133 - 9,149",Rs.,"12,878 - 14,594",,-,Pune
Wagholi,3655.0,4165.0,3910.0,-4.21%,"5,498 - 6,497",Rs.,"7,642 - 9,170",Rs.,"11,674 - 14,268",Pune
Wakad,5142.0,5738.0,5440.0,0.79%,"8,887 - 10,455",Rs.,"12,436 - 14,212",Rs.,"16,078 - 18,551",Pune
Wanowrie,5738.0,6715.0,6226.5,-4%,"8,522 - 9,942",Rs.,"13,451 - 15,245",Rs.,"19,040 - 21,760",Pune
Wanwadi,5525.0,6928.0,6226.5,2.11%,"9,031 - 11,156",Rs.,"13,821 - 15,664",Rs.,"19,125 - 24,225",Pune
Warje,5440.0,6205.0,5822.5,-1.45%,"6,575 - 8,598",Rs.,"10,498 - 12,920",,-,Pune
Yashwant Nagar,3145.0,3825.0,3485.0,-,-,Rs.,"11,356 - 11,356",,-,Pune
Yerwada,5865.0,6842.0,6353.5,2.13%,"9,571 - 11,964",Rs.,"15,300 - 17,850",Rs.,"18,360 - 20,655",Pune
Yewalewadi,3825.0,4080.0,3952.5,15%,"5,160 - 6,191",Rs.,"7,650 - 8,415",,-,Pune
